Asset_1,Asset_2,Correlation,Abs_Correlation
Silver,BIMAS,0.07530335329917807,0.07530335329917807
Dollar_Index,MOEX_Russia,-0.0746157829283274,0.0746157829283274
Dow_Jones,Dollar_Index,-0.0745420977108525,0.0745420977108525
Platinum,BIMAS,0.074036563636698,0.074036563636698
ISCTR,USD_TRY,-0.07299029245951111,0.07299029245951111
BIST30,Dollar_Index,-0.07208945007551577,0.07208945007551577
Silver,ISCTR,0.0710643841224627,0.0710643841224627
Platinum,THYAO,0.0706161437565834,0.0706161437565834
Silver,VIX,-0.07060778226937235,0.07060778226937235
BIST100,Bitcoin,0.07056871622650962,0.07056871622650962
AKBNK,USD_TRY,-0.06958883596715261,0.06958883596715261
Silver,WTI_Oil,0.06841224662470272,0.06841224662470272
Natural_Gas,SP500,0.06809574037967278,0.06809574037967278
KCHOL,Dollar_Index,-0.06744360960328243,0.06744360960328243
BIST100,Dollar_Index,-0.0665373972531351,0.0665373972531351
BIST_Industrials,Dollar_Index,-0.06644650842761986,0.06644650842761986
Platinum,USD_TRY,-0.06628131445884568,0.06628131445884568
VIX,CSI300,-0.06595168743079256,0.06595168743079256
GARAN,USD_TRY,-0.06592716194516557,0.06592716194516557
ISCTR,SAR_TRY,-0.06590807298689175,0.06590807298689175
Brent_Oil,Dollar_Index,-0.06486038576182733,0.06486038576182733
AKBNK,Dollar_Index,-0.06452995393673984,0.06452995393673984
BIST30,Bitcoin,0.06449466739153233,0.06449466739153233
SP500,CSI300,0.0644880626582593,0.0644880626582593
AKBNK,SAR_TRY,-0.06434381105292072,0.06434381105292072
Brent_Oil,BIST_Banks,0.06341891093111986,0.06341891093111986
ISCTR,EUR_TRY,-0.06333163608689588,0.06333163608689588
BIST_Banks,USD_TRY,-0.06290678247495386,0.06290678247495386
Platinum,SAR_TRY,-0.062743215408968,0.062743215408968
Natural_Gas,Dow_Jones,0.062250182584940875,0.062250182584940875
BIST_Banks,Dollar_Index,-0.062023504552594,0.062023504552594
BIMAS,US_10Y_Bond,0.06194075218074918,0.06194075218074918
TUPRS,USD_TRY,0.06128313730939608,0.06128313730939608
Brent_Oil,ISCTR,0.060878379713489215,0.060878379713489215
ASELS,US_10Y_Bond,0.06077406363717538,0.06077406363717538
TUPRS,SAR_TRY,0.06001619516104907,0.06001619516104907
ISCTR,GBP_TRY,-0.0599626913300255,0.0599626913300255
WTI_Oil,Nikkei225,0.0591568270467188,0.0591568270467188
WTI_Oil,TUPRS,0.058718458429482756,0.058718458429482756
GARAN,SAR_TRY,-0.05835240948815332,0.05835240948815332
FTSE100,EUR_TRY,-0.05714698207696605,0.05714698207696605
BIST_Banks,SAR_TRY,-0.05688170833809059,0.05688170833809059
Gold,DAX,-0.0555265612187893,0.0555265612187893
Gold,AKBNK,0.05511485489325069,0.05511485489325069
Natural_Gas,DAX,0.055007789115913586,0.055007789115913586
Natural_Gas,FTSE100,0.05469700251325253,0.05469700251325253
Bitcoin,GBP_TRY,-0.05445746838434914,0.05445746838434914
AKBNK,GBP_TRY,-0.05300433511789338,0.05300433511789338
TUPRS,EUR_TRY,0.05248913886240756,0.05248913886240756
Natural_Gas,SAHOL,0.052248992243407504,0.052248992243407504
ISCTR,CSI300,0.052115292052082034,0.052115292052082034
Brent_Oil,GARAN,0.05179793286103121,0.05179793286103121
ISCTR,Bitcoin,0.05177238541833199,0.05177238541833199
Gold,VIX,0.05174655560163285,0.05174655560163285
TUPRS,US_10Y_Bond,0.05169425482576226,0.05169425482576226
FTSE100,USD_TRY,-0.05168654243626241,0.05168654243626241
DAX,EUR_TRY,-0.051620542266238516,0.051620542266238516
GARAN,GBP_TRY,-0.05160634360808612,0.05160634360808612
AKBNK,EUR_TRY,-0.05158231764811208,0.05158231764811208
Gold,BIST_Banks,0.051306078650095684,0.051306078650095684
FTSE100,SAR_TRY,-0.05086406119483525,0.05086406119483525
AKBNK,Bitcoin,0.05069330480873835,0.05069330480873835
GARAN,Dollar_Index,-0.04961457352123263,0.04961457352123263
TUPRS,GBP_TRY,0.04947722153962731,0.04947722153962731
SAHOL,Dollar_Index,-0.04938237128834108,0.04938237128834108
BIST_Banks,GBP_TRY,-0.04898404163798955,0.04898404163798955
Brent_Oil,Bitcoin,0.0487154405600635,0.0487154405600635
GARAN,EUR_TRY,-0.048663286965128456,0.048663286965128456
BIST_Banks,Bitcoin,0.04847490269266688,0.04847490269266688
Silver,SAR_TRY,-0.04799476993718068,0.04799476993718068
Brent_Oil,ASELS,0.04789164114201873,0.04789164114201873
FTSE100,GBP_TRY,-0.04761064915656686,0.04761064915656686
Gold,BIST30,0.04727887256960434,0.04727887256960434
Brent_Oil,RUB_TRY,-0.0469874714028843,0.0469874714028843
Natural_Gas,NASDAQ,0.04669311921131765,0.04669311921131765
Natural_Gas,BIST30,0.04656496445429054,0.04656496445429054
Copper,BIMAS,0.04604573443032661,0.04604573443032661
Platinum,EUR_TRY,-0.04597175767056105,0.04597175767056105
BIST_Banks,EUR_TRY,-0.045613720297663085,0.045613720297663085
ASELS,GBP_TRY,0.045049237812944135,0.045049237812944135
Silver,USD_TRY,-0.04497410582631742,0.04497410582631742
USD_TRY,Bitcoin,-0.044942898358343863,0.044942898358343863
Bitcoin,SAR_TRY,-0.044660755581614975,0.044660755581614975
ISCTR,Dollar_Index,-0.044432834609854144,0.044432834609854144
Natural_Gas,BIST100,0.044371390009070484,0.044371390009070484
DAX,USD_TRY,-0.04418848953072632,0.04418848953072632
THYAO,USD_TRY,0.04408702990467783,0.04408702990467783
