,Gold,Silver,Platinum,Copper,Brent_Oil,WTI_Oil,Natural_Gas,SP500,NASDAQ,Dow_Jones,DAX,FTSE100,Nikkei225,BIST100,BIST30,BIST_Banks,BIST_Industrials,THYAO,GARAN,AKBNK,ISCTR,KCHOL,SAHOL,TUPRS,ASELS,BIMAS,USD_TRY,EUR_TRY,Bitcoin,VIX,US_10Y_Bond,Dollar_Index,CSI300,MOEX_Russia,GBP_TRY,SAR_TRY,RUB_TRY
DAX,-0.0555265612187893,0.11829889225744546,0.24600378391693328,0.2678603333686603,0.21055945822391323,0.08737279042610085,0.055007789115913586,0.5724824481950289,0.513504018434606,0.584204617236687,1.0,0.8230579712866835,0.32552924700762925,0.33011707504718346,0.3256281248177845,0.27824947128892,0.3084603953207051,0.26538918442282,0.24625670633379335,0.26264381714986296,0.25137284427925377,0.2913367451689945,0.281400506928293,0.20901810616267424,0.16254992525258521,0.13260218393579265,-0.04418848953072632,-0.051620542266238516,0.13976884340159673,-0.44680694671891913,0.266563489060482,-0.013150991065122216,0.119723325553394,0.41497966353660676,-0.021234276442577,-0.04112501607171075,-0.010846265093443313
FTSE100,-0.030179460936285808,0.13096763429697447,0.2713478803599876,0.30705929918698777,0.2953426308909637,0.11773171935361575,0.05469700251325253,0.5396547378504203,0.4459377094765293,0.5740171416505243,0.8230579712866835,1.0,0.3392180467296904,0.3440730810187086,0.3395832075822679,0.29161834591149643,0.3287296357091612,0.2617761047570639,0.2638342475861103,0.2765108945466538,0.26027474816786655,0.3024898146699856,0.29570909397449774,0.2345230373988322,0.1760535363839645,0.12313835624807716,-0.05168654243626241,-0.05714698207696605,0.12257185758216858,-0.40704308147296603,0.30533588593962785,-0.005497400759191067,0.13487768919970858,0.43686978885447536,-0.04761064915656686,-0.05086406119483525,-0.017715303862996506
Nikkei225,-0.02367826800014905,0.09385111577908914,0.1468589447158237,0.15773333434517176,0.11279707255558638,0.0591568270467188,0.005913900289392541,0.21513521388544088,0.18600535317392514,0.22232477069362308,0.32552924700762925,0.3392180467296904,1.0,0.14665678281581981,0.14102864137145985,0.11240751946104485,0.16486277191266613,0.09197323497270289,0.09814179297472386,0.10495488402605163,0.10103607000852956,0.12461974183473208,0.11541202995721174,0.10365373009254762,0.08309911208449537,0.044047756688769014,-0.1111728100471724,-0.10759512883286697,0.0018278861777789475,-0.17685741025378993,0.132065693038268,0.007298101945800253,0.1833982740900319,0.18406107336361585,-0.033168300436133086,-0.10512811190826547,-0.01734128711083218
BIST100,0.040336557423654516,0.12366893111923548,0.15070739990417267,0.1438994899653703,0.09184828796659605,0.028754626368125494,0.044371390009070484,0.2524877992045406,0.20958588316558574,0.2668700246795982,0.33011707504718346,0.3440730810187086,0.14665678281581981,1.0,0.9917947850123787,0.8324129005696209,0.9203506128332567,0.7113503946672906,0.7319558754813664,0.7715682271817541,0.7537665642031937,0.759157287267838,0.7881346876211202,0.6211212255779701,0.608338551901247,0.5089469343663187,0.0028338429284862233,0.010210997277130703,0.07056871622650962,-0.2104567784292295,0.11735505884851884,-0.0665373972531351,-0.0014677311624842371,0.23287656784678332,0.010960843166028527,0.006387603395867918,0.012124863617248368
BIST30,0.04727887256960434,0.12471599350710716,0.15221977953225377,0.14565044500483273,0.09388708579067152,0.03373817590178876,0.04656496445429054,0.24874144702049297,0.20630498188541185,0.26198817572391603,0.3256281248177845,0.3395832075822679,0.14102864137145985,0.9917947850123787,1.0,0.8488154109013104,0.8920329972103852,0.7121243729720353,0.7473021105659984,0.7891332950023499,0.7665358345130452,0.7706799348384784,0.7999281771886505,0.6331254578240797,0.5975029097710066,0.5207028752330004,0.005227807719132294,0.013909789279533284,0.06449466739153233,-0.2010935307299307,0.1174464216849768,-0.07208945007551577,0.009119359163151507,0.22550118931355057,0.012895308499780456,0.008911677621673973,0.012738299809484458
BIST_Banks,0.051306078650095684,0.09925870098041803,0.13494330010472405,0.128384694312674,0.06341891093111986,0.02685043467453561,0.04343628676915078,0.21113633262457668,0.17101318541884647,0.2205729822377404,0.27824947128892,0.29161834591149643,0.11240751946104485,0.8324129005696209,0.8488154109013104,1.0,0.6286143151818435,0.5288886538454877,0.9186686393262429,0.942901333531293,0.9027828685572513,0.6488906142351919,0.728734360057466,0.41657779847560056,0.4530903079968019,0.34730508427808215,-0.06290678247495386,-0.045613720297663085,0.04847490269266688,-0.1644932080682362,0.11065801657871502,-0.062023504552594,0.02485754772676349,0.16411242773597964,-0.04898404163798955,-0.05688170833809059,0.011713619101399559
BIST_Industrials,0.03369795216279044,0.12880650405227131,0.1476863673376367,0.14192907321585455,0.10816884167671276,0.023003296906595014,0.040109834661168194,0.2358378172419645,0.19570938957806674,0.25341523381848435,0.3084603953207051,0.3287296357091612,0.16486277191266613,0.9203506128332567,0.8920329972103852,0.6286143151818435,1.0,0.6338090559414535,0.5266849564422639,0.5666310682193052,0.576982195894,0.6690824459752711,0.6496737554656,0.6720894762759133,0.5771478992537087,0.4288974237124327,0.032639058523644925,0.031325236937584974,0.08161642631391486,-0.20699150116383144,0.0924072253529962,-0.06644650842761986,0.00830976781145845,0.24637238632617753,0.03824426856797891,0.037379859749010584,0.0220023699228949
THYAO,-0.041733966122738636,0.019561011238468748,0.0706161437565834,0.08160702529736244,0.01322276119085089,-0.006018167460666629,0.033804371795659226,0.199334962326101,0.16323126824154427,0.21196992119437028,0.26538918442282,0.2617761047570639,0.09197323497270289,0.7113503946672906,0.7121243729720353,0.5288886538454877,0.6338090559414535,1.0,0.47745231622474044,0.49362408085755216,0.48132005245641724,0.5231190066085954,0.5347123865419451,0.449707599321665,0.48134393008428883,0.2875101801069695,0.04408702990467783,0.04032787729279125,0.03158257424391593,-0.15206105347278354,0.11019474089471733,-0.03465321203057885,-0.0037411217252058667,0.16827182221476988,0.04357804935707974,0.04262424689065144,-0.002785260473216398
GARAN,0.040699950079430856,0.0840442593997141,0.11489574306527453,0.1174203316990921,0.05179793286103121,0.024957807744328188,0.03891614772629412,0.18193776745157914,0.1437914332668166,0.19033736142931582,0.24625670633379335,0.2638342475861103,0.09814179297472386,0.7319558754813664,0.7473021105659984,0.9186686393262429,0.5266849564422639,0.47745231622474044,1.0,0.8655090498500866,0.7947277326032673,0.5797819296983634,0.658397419828477,0.3674796553037508,0.3990787797374946,0.31197228322023707,-0.06592716194516557,-0.048663286965128456,0.028108282553276225,-0.1433110975946857,0.1047442399165915,-0.04961457352123263,0.029852138045024745,0.14601408909816876,-0.05160634360808612,-0.05835240948815332,0.016875039913971372
AKBNK,0.05511485489325069,0.09695114996511074,0.12412275620936067,0.1183889076478935,0.0431504432307842,0.019902394541071556,0.03643284817094216,0.18470968730696363,0.14874950526832967,0.1939422298103988,0.26264381714986296,0.2765108945466538,0.10495488402605163,0.7715682271817541,0.7891332950023499,0.942901333531293,0.5666310682193052,0.49362408085755216,0.8655090498500866,1.0,0.8216633268325425,0.6201444757974081,0.7122205896929139,0.39497820029578123,0.41439950363605016,0.3433668758946079,-0.06958883596715261,-0.05158231764811208,0.05069330480873835,-0.14481066976376158,0.09192588043326134,-0.06452995393673984,0.026927903568959417,0.13402111468904904,-0.05300433511789338,-0.06434381105292072,0.012763628290508354
